country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,12500000000,16000000000,17200000000,18200000000,19100000000,20000000000,20400000000,18900000000,24100000000,27100000000,28900000000,32400000000,33900000000,38500000000,39500000000,47500000000,51300000000,54900000000,63000000000,65800000000
Albania,12200000000,13600000000,14700000000,13000000000,14600000000,15900000000,17000000000,18200000000,18800000000,19900000000,21100000000,22300000000,23500000000,24900000000,26700000000,27600000000,28500000000,29300000000,30100000000,30700000000
Algeria,2.56E+11,2.66E+11,2.76E+11,2.78E+11,2.92E+11,3.01E+11,3.09E+11,3.17E+11,3.30E+11,3.53E+11,3.72E+11,3.92E+11,3.99E+11,4.13E+11,4.21E+11,4.28E+11,4.43E+11,4.54E+11,4.65E+11,4.79E+11
Andorra,1580000000,1620000000,1690000000,1820000000,1860000000,1930000000,1960000000,2210000000,2380000000,2590000000,2820000000,3040000000,3190000000,3190000000,3060000000,2900000000,2810000000,2730000000,,
Angola,30100000000,34600000000,41500000000,43800000000,43800000000,45200000000,46500000000,48000000000,55000000000,56800000000,63100000000,76100000000,90200000000,1.11E+11,1.27E+11,1.30E+11,1.34E+11,1.39E+11,1.46E+11,1.52E+11
Antigua and Barbuda,1200000000,1150000000,1220000000,1280000000,1340000000,1400000000,1420000000,1450000000,1490000000,1560000000,1680000000,1750000000,1980000000,2110000000,2150000000,1920000000,1770000000,1740000000,1800000000,1830000000
Argentina,3.82E+11,3.72E+11,3.93E+11,4.26E+11,4.43E+11,4.28E+11,4.25E+11,4.06E+11,3.61E+11,3.92E+11,4.27E+11,4.66E+11,5.04E+11,5.46E+11,5.82E+11,5.85E+11,6.37E+11,6.92E+11,7.03E+11,7.31E+11
Armenia,7050000000,7520000000,7850000000,8020000000,8570000000,8800000000,9290000000,10200000000,11800000000,13500000000,14900000000,17100000000,19400000000,22000000000,23500000000,20000000000,20300000000,21100000000,22700000000,23400000000
Australia,5.24E+11,5.45E+11,5.65E+11,5.90E+11,6.23E+11,6.48E+11,6.61E+11,6.87E+11,7.10E+11,7.40E+11,7.61E+11,7.89E+11,8.13E+11,8.52E+11,8.74E+11,8.89E+11,9.16E+11,9.40E+11,9.70E+11,9.94E+11
Austria,2.54E+11,2.59E+11,2.67E+11,2.72E+11,2.81E+11,2.90E+11,3.00E+11,3.03E+11,3.07E+11,3.12E+11,3.21E+11,3.29E+11,3.41E+11,3.54E+11,3.58E+11,3.45E+11,3.52E+11,3.61E+11,3.63E+11,3.64E+11
Azerbaijan,27400000000,24300000000,24700000000,26300000000,29100000000,31400000000,35100000000,38900000000,43300000000,48500000000,54500000000,68200000000,91800000000,1.15E+11,1.27E+11,1.39E+11,1.46E+11,1.47E+11,1.50E+11,1.59E+11
Bahamas,5710000000,5950000000,6180000000,6460000000,6870000000,7130000000,7250000000,7300000000,7470000000,7560000000,7670000000,7880000000,8100000000,8230000000,8070000000,7690000000,7720000000,7860000000,8010000000,8160000000
Bahrain,17700000000,18400000000,19300000000,20100000000,21200000000,22300000000,23400000000,24300000000,25100000000,26600000000,28700000000,32900000000,38500000000,46700000000,55400000000,47600000000,50500000000,53100000000,55200000000,57500000000
Bangladesh,1.34E+11,1.41E+11,1.49E+11,1.57E+11,1.65E+11,1.74E+11,1.84E+11,1.93E+11,2.01E+11,2.11E+11,2.23E+11,2.35E+11,2.50E+11,2.66E+11,2.82E+11,2.99E+11,3.18E+11,3.39E+11,3.60E+11,3.82E+11
Barbados,3160000000,3240000000,3330000000,3480000000,3690000000,3710000000,3790000000,3680000000,3690000000,3760000000,3890000000,4050000000,4280000000,4350000000,4360000000,4180000000,4190000000,4210000000,4210000000,4180000000
Belarus,62800000000,56100000000,57500000000,63800000000,68900000000,71000000000,74800000000,78100000000,81700000000,87000000000,96600000000,1.05E+11,1.16E+11,1.25E+11,1.40E+11,1.40E+11,1.50E+11,1.59E+11,1.61E+11,1.62E+11
Belgium,3.16E+11,3.23E+11,3.27E+11,3.37E+11,3.44E+11,3.55E+11,3.69E+11,3.72E+11,3.78E+11,3.83E+11,3.96E+11,4.04E+11,4.15E+11,4.26E+11,4.30E+11,4.17E+11,4.26E+11,4.28E+11,4.26E+11,4.25E+11
Belize,1400000000,1410000000,1440000000,1480000000,1510000000,1650000000,1850000000,1930000000,2010000000,2180000000,2260000000,2310000000,2410000000,2380000000,2460000000,2470000000,2550000000,2610000000,2730000000,2780000000
Benin,7260000000,7550000000,7940000000,8380000000,8750000000,9140000000,9670000000,10200000000,10800000000,11300000000,11700000000,12000000000,12500000000,13100000000,13700000000,14100000000,14500000000,15000000000,15800000000,16700000000
Bhutan,1390000000,1490000000,1580000000,1670000000,1780000000,1920000000,2070000000,2220000000,2440000000,2630000000,2820000000,3010000000,3220000000,3800000000,3970000000,4240000000,4740000000,5140000000,5530000000,5880000000
Bolivia,29200000000,30600000000,31900000000,33600000000,35300000000,35500000000,36500000000,37200000000,38200000000,39300000000,41000000000,42800000000,44700000000,46500000000,49200000000,50700000000,52600000000,55100000000,57800000000,61500000000
Bosnia and Herzegovina,8440000000,8790000000,13800000000,19200000000,21900000000,23900000000,25400000000,26400000000,27200000000,27600000000,28600000000,29500000000,31200000000,33200000000,35000000000,34000000000,34200000000,34700000000,34200000000,34600000000
Botswana,12500000000,13000000000,13700000000,14700000000,15600000000,16600000000,18200000000,19200000000,20300000000,21300000000,22200000000,23100000000,24400000000,25600000000,26400000000,25200000000,27000000000,28400000000,29600000000,30700000000
Brazil,1.65E+12,1.72E+12,1.77E+12,1.83E+12,1.83E+12,1.85E+12,1.94E+12,1.95E+12,2.01E+12,2.03E+12,2.14E+12,2.20E+12,2.29E+12,2.43E+12,2.55E+12,2.55E+12,2.74E+12,2.81E+12,2.84E+12,2.91E+12
Brunei,20700000000,21300000000,22100000000,23000000000,22900000000,23600000000,24200000000,24800000000,25800000000,26500000000,26500000000,26600000000,27800000000,28000000000,27600000000,27200000000,28000000000,28600000000,28900000000,28600000000
Bulgaria,75000000000,77200000000,70000000000,66300000000,69200000000,70900000000,74900000000,78200000000,82300000000,86100000000,92000000000,98000000000,1.04E+11,1.11E+11,1.18E+11,1.11E+11,1.12E+11,1.16E+11,1.16E+11,1.17E+11
Burkina Faso,10200000000,10600000000,11400000000,11900000000,12600000000,13400000000,13700000000,14500000000,15000000000,16100000000,16800000000,18000000000,19100000000,19900000000,21100000000,21700000000,23400000000,24400000000,26500000000,28700000000
Burundi,5400000000,4740000000,4360000000,4390000000,4520000000,4390000000,4340000000,4390000000,4560000000,4480000000,4660000000,4670000000,4980000000,5270000000,5580000000,5790000000,6030000000,6270000000,6500000000,6750000000
Cambodia,11700000000,12800000000,12400000000,13300000000,13600000000,15300000000,16400000000,17800000000,19700000000,21300000000,23200000000,26100000000,28500000000,31400000000,33400000000,33200000000,35300000000,37900000000,40700000000,43700000000
Cameroon,26600000000,27500000000,28800000000,30300000000,31800000000,33100000000,34500000000,36400000000,38700000000,40300000000,41900000000,42800000000,43900000000,44900000000,46300000000,46900000000,48300000000,50100000000,52300000000,54500000000
Canada,9.03E+11,9.26E+11,9.38E+11,9.77E+11,1.02E+12,1.07E+12,1.12E+12,1.14E+12,1.18E+12,1.20E+12,1.24E+12,1.28E+12,1.31E+12,1.34E+12,1.36E+12,1.31E+12,1.35E+12,1.39E+12,1.41E+12,1.43E+12
Cape Verde,1010000000,1100000000,1190000000,1290000000,1390000000,1530000000,1640000000,1760000000,1860000000,1960000000,2060000000,2190000000,2410000000,2600000000,2750000000,2840000000,2970000000,3110000000,3140000000,3150000000
Central African Republic,3190000000,3360000000,3110000000,3360000000,3480000000,3610000000,3670000000,3690000000,3680000000,3400000000,3450000000,3530000000,3690000000,3850000000,3920000000,3920000000,4020000000,4130000000,4300000000,2750000000
Chad,7630000000,7660000000,7890000000,8220000000,8860000000,9070000000,9190000000,10100000000,11200000000,12900000000,17400000000,18800000000,18900000000,19000000000,19400000000,19200000000,21700000000,21900000000,23800000000,24700000000
Chile,1.65E+11,1.79E+11,1.93E+11,2.06E+11,2.12E+11,2.11E+11,2.20E+11,2.28E+11,2.33E+11,2.42E+11,2.57E+11,2.74E+11,2.90E+11,3.05E+11,3.14E+11,3.11E+11,3.29E+11,3.48E+11,3.67E+11,3.83E+11
China,4.10E+12,4.62E+12,4.78E+12,5.08E+12,5.03E+12,5.28E+12,5.58E+12,5.97E+12,6.62E+12,7.16E+12,7.90E+12,8.69E+12,9.77E+12,1.09E+13,1.11E+13,1.19E+13,1.28E+13,1.35E+13,1.46E+13,1.57E+13
Colombia,3.03E+11,3.19E+11,3.25E+11,3.36E+11,3.38E+11,3.23E+11,3.32E+11,3.37E+11,3.44E+11,3.57E+11,3.75E+11,3.95E+11,4.22E+11,4.53E+11,4.70E+11,4.79E+11,4.99E+11,5.33E+11,5.57E+11,5.81E+11
Comoros,804000000,833000000,822000000,856000000,866000000,883000000,896000000,925000000,964000000,988000000,985000000,1030000000,1040000000,1050000000,1060000000,1070000000,1100000000,1120000000,1160000000,1210000000
"Congo, Dem. Rep.",20600000000,20700000000,20500000000,19400000000,19000000000,18200000000,17000000000,16600000000,17200000000,18200000000,19400000000,20900000000,22100000000,23500000000,24900000000,25600000000,27400000000,29300000000,31300000000,33900000000
"Congo, Rep.",11900000000,12400000000,12900000000,12900000000,13300000000,13000000000,14000000000,14500000000,15200000000,15300000000,15800000000,17100000000,18100000000,17800000000,18900000000,20300000000,22100000000,23100000000,23800000000,24800000000
Costa Rica,26700000000,27400000000,27800000000,29500000000,32200000000,35500000000,36400000000,37000000000,38200000000,40800000000,42600000000,45200000000,49000000000,52700000000,53900000000,53100000000,57100000000,59700000000,62800000000,64500000000
Cote d'Ivoire,38500000000,41200000000,44000000000,46500000000,48900000000,49900000000,48500000000,48600000000,47800000000,47100000000,47700000000,48500000000,48900000000,49600000000,50800000000,52700000000,54300000000,51700000000,56300000000,60400000000
Croatia,56100000000,59900000000,63500000000,67800000000,69600000000,69000000000,70800000000,73700000000,77100000000,80000000000,82600000000,87300000000,91500000000,96000000000,97900000000,91100000000,89100000000,89200000000,87300000000,86300000000
Cuba,97700000000,1.01E+11,1.10E+11,1.14E+11,1.15E+11,1.23E+11,1.29E+11,1.33E+11,1.35E+11,1.38E+11,1.47E+11,1.58E+11,1.78E+11,1.90E+11,1.98E+11,2.01E+11,2.06E+11,2.12E+11,2.18E+11,
Cyprus,20400000000,22500000000,23100000000,23700000000,25100000000,26500000000,28100000000,29400000000,30300000000,31000000000,32100000000,33000000000,34200000000,35600000000,36400000000,35200000000,35200000000,34900000000,34000000000,32000000000
Czech Republic,1.78E+11,1.89E+11,1.97E+11,1.95E+11,1.94E+11,1.96E+11,2.04E+11,2.08E+11,2.12E+11,2.20E+11,2.30E+11,2.45E+11,2.62E+11,2.78E+11,2.86E+11,2.72E+11,2.79E+11,2.85E+11,2.82E+11,2.80E+11
Denmark,1.80E+11,1.85E+11,1.91E+11,1.97E+11,2.02E+11,2.07E+11,2.15E+11,2.17E+11,2.18E+11,2.19E+11,2.24E+11,2.31E+11,2.39E+11,2.43E+11,2.41E+11,2.27E+11,2.31E+11,2.33E+11,2.32E+11,2.34E+11
Djibouti,1450000000,1410000000,1360000000,1380000000,1420000000,1480000000,1520000000,1560000000,1600000000,1650000000,1690000000,1740000000,1810000000,1880000000,1970000000,2060000000,2110000000,2180000000,2270000000,2360000000
Dominica,498000000,507000000,524000000,534000000,549000000,549000000,551000000,529000000,508000000,519000000,552000000,571000000,590000000,612000000,657000000,650000000,654000000,666000000,658000000,663000000
Dominican Republic,38200000000,40000000000,42900000000,46500000000,49900000000,53900000000,58700000000,60800000000,63500000000,65300000000,69400000000,75300000000,83000000000,89700000000,94000000000,96900000000,1.04E+11,1.08E+11,1.12E+11,1.16E+11
Ecuador,1.02E+11,1.05E+11,1.06E+11,1.10E+11,1.10E+11,1.02E+11,86800000000,91400000000,92300000000,96100000000,1.04E+11,1.10E+11,1.15E+11,1.17E+11,1.25E+11,1.26E+11,1.30E+11,1.40E+11,1.47E+11,1.53E+11
Egypt,4.13E+11,4.30E+11,4.49E+11,4.72E+11,4.96E+11,5.25E+11,5.51E+11,5.70E+11,5.87E+11,6.06E+11,6.31E+11,6.60E+11,7.05E+11,7.44E+11,7.95E+11,8.28E+11,8.66E+11,8.77E+11,8.89E+11,9.05E+11
El Salvador,34900000000,36900000000,37200000000,38400000000,39300000000,40100000000,40500000000,40600000000,40900000000,41000000000,41100000000,41700000000,43400000000,45000000000,45600000000,44200000000,44800000000,45800000000,46700000000,47500000000
Equatorial Guinea,730000000,857000000,1430000000,3570000000,4420000000,5550000000,6570000000,10700000000,12800000000,14600000000,20200000000,22100000000,22400000000,25300000000,28400000000,26100000000,25800000000,27100000000,28000000000,26600000000
Eritrea,4880000000,4990000000,5450000000,5870000000,5980000000,5990000000,5240000000,5700000000,5860000000,5700000000,5780000000,5920000000,5870000000,5940000000,5360000000,5560000000,5680000000,6170000000,6590000000,6660000000
Estonia,14400000000,15000000000,15600000000,17300000000,18200000000,18100000000,19600000000,20800000000,22400000000,23600000000,25700000000,28500000000,31400000000,33700000000,32300000000,27800000000,28700000000,31100000000,33400000000,33900000000
Ethiopia,30500000000,32400000000,36300000000,37400000000,36100000000,37900000000,40100000000,43300000000,43800000000,42700000000,48300000000,53800000000,59400000000,65800000000,72600000000,78600000000,88100000000,97500000000,1.06E+11,1.16E+11
Fiji,4940000000,5070000000,5320000000,5210000000,5280000000,5750000000,5640000000,5730000000,5890000000,5920000000,6210000000,6240000000,6340000000,6290000000,6360000000,6290000000,6320000000,6460000000,6590000000,6810000000
Finland,1.30E+11,1.34E+11,1.40E+11,1.48E+11,1.57E+11,1.63E+11,1.71E+11,1.75E+11,1.78E+11,1.81E+11,1.88E+11,1.94E+11,2.03E+11,2.14E+11,2.14E+11,1.96E+11,2.03E+11,2.08E+11,2.06E+11,2.02E+11
France,1.75E+12,1.78E+12,1.80E+12,1.84E+12,1.90E+12,1.96E+12,2.04E+12,2.08E+12,2.10E+12,2.11E+12,2.16E+12,2.18E+12,2.23E+12,2.28E+12,2.28E+12,2.21E+12,2.25E+12,2.29E+12,2.29E+12,2.30E+12
Gabon,11200000000,11500000000,12800000000,10700000000,9300000000,10300000000,12800000000,12100000000,11900000000,13100000000,14900000000,20400000000,20600000000,20900000000,25100000000,23100000000,28900000000,26800000000,28400000000,30200000000
Gambia,1540000000,1480000000,1550000000,1620000000,1660000000,1760000000,1850000000,1950000000,1890000000,2010000000,2160000000,2270000000,2290000000,2380000000,2510000000,2670000000,2850000000,2730000000,2870000000,3050000000
Georgia,11000000000,11300000000,12600000000,13900000000,14300000000,14700000000,15000000000,15700000000,16500000000,18300000000,19400000000,21300000000,22700000000,25300000000,25900000000,24800000000,25900000000,27400000000,28700000000,29600000000
Germany,2.63E+12,2.69E+12,2.72E+12,2.77E+12,2.82E+12,2.87E+12,2.96E+12,2.99E+12,2.99E+12,2.99E+12,3.02E+12,3.04E+12,3.17E+12,3.28E+12,3.31E+12,3.15E+12,3.27E+12,3.37E+12,3.38E+12,3.38E+12
Ghana,33300000000,34600000000,36200000000,37800000000,39500000000,41300000000,43000000000,45000000000,47100000000,49600000000,52200000000,55500000000,58000000000,61800000000,67000000000,70100000000,74700000000,86000000000,92600000000,97400000000
Greece,2.12E+11,2.19E+11,2.25E+11,2.35E+11,2.44E+11,2.54E+11,2.66E+11,2.79E+11,2.91E+11,3.06E+11,3.21E+11,3.34E+11,3.53E+11,3.66E+11,3.60E+11,3.49E+11,3.32E+11,3.08E+11,2.87E+11,2.78E+11
Grenada,830000000,857000000,883000000,922000000,1040000000,1120000000,1200000000,1150000000,1160000000,1240000000,1160000000,1280000000,1230000000,1300000000,1320000000,1230000000,1220000000,1230000000,1210000000,1230000000
Guatemala,58700000000,61200000000,62700000000,64900000000,67900000000,70200000000,72600000000,74200000000,75800000000,77400000000,79700000000,82400000000,86800000000,92200000000,95300000000,95800000000,98600000000,1.03E+11,1.06E+11,1.10E+11
Guinea,7450000000,7870000000,8250000000,8750000000,9180000000,9440000000,9540000000,9980000000,10300000000,10300000000,10500000000,10800000000,11000000000,11200000000,11700000000,11600000000,11800000000,12300000000,12700000000,13100000000
Guinea-Bissau,1700000000,1760000000,1840000000,1940000000,1390000000,1500000000,1630000000,1630000000,1540000000,1530000000,1570000000,1620000000,1650000000,1710000000,1760000000,1810000000,1880000000,1980000000,1950000000,1950000000
Guyana,2660000000,2790000000,3010000000,3210000000,3160000000,3270000000,3230000000,3310000000,3350000000,3330000000,3440000000,3380000000,3560000000,3800000000,3870000000,4000000000,4170000000,4390000000,4570000000,4800000000
Haiti,12700000000,13300000000,13900000000,14300000000,14600000000,15000000000,15100000000,14900000000,14800000000,14800000000,14100000000,14300000000,14600000000,15000000000,15100000000,15500000000,14900000000,15700000000,16200000000,16800000000
Honduras,20200000000,20800000000,21500000000,22400000000,23000000000,22400000000,23400000000,23900000000,24400000000,25200000000,26300000000,27300000000,29100000000,30900000000,32200000000,31400000000,32500000000,33700000000,35000000000,35900000000
Hungary,1.45E+11,1.47E+11,1.49E+11,1.56E+11,1.64E+11,1.71E+11,1.80E+11,1.87E+11,1.95E+11,2.04E+11,2.13E+11,2.22E+11,2.31E+11,2.31E+11,2.33E+11,2.17E+11,2.20E+11,2.23E+11,2.21E+11,2.24E+11
Iceland,7740000000,7790000000,8230000000,8630000000,9080000000,9420000000,9850000000,10200000000,10100000000,10400000000,11300000000,11900000000,12300000000,13000000000,13300000000,12500000000,12000000000,12400000000,12700000000,13100000000
India,1.90E+12,2.04E+12,2.20E+12,2.30E+12,2.45E+12,2.60E+12,2.71E+12,2.86E+12,2.96E+12,3.21E+12,3.48E+12,3.75E+12,4.12E+12,4.49E+12,4.82E+12,5.06E+12,5.63E+12,6.06E+12,6.35E+12,6.63E+12
Indonesia,1.06E+12,1.15E+12,1.24E+12,1.29E+12,1.12E+12,1.12E+12,1.17E+12,1.22E+12,1.27E+12,1.34E+12,1.40E+12,1.48E+12,1.56E+12,1.66E+12,1.75E+12,1.82E+12,1.93E+12,2.05E+12,2.17E+12,2.28E+12
Iran,5.41E+11,5.62E+11,5.98E+11,6.32E+11,6.49E+11,6.67E+11,7.05E+11,7.35E+11,7.75E+11,8.31E+11,8.91E+11,9.36E+11,9.90E+11,1.05E+12,1.06E+12,1.10E+12,1.16E+12,1.20E+12,1.13E+12,1.10E+12
Iraq,1.26E+11,1.02E+11,1.52E+11,1.87E+11,2.53E+11,3.08E+11,3.13E+11,3.21E+11,2.93E+11,1.90E+11,3.01E+11,3.11E+11,3.40E+11,3.46E+11,3.70E+11,3.89E+11,4.14E+11,4.45E+11,4.91E+11,5.12E+11
Ireland,81600000000,89700000000,97200000000,1.09E+11,1.17E+11,1.29E+11,1.41E+11,1.51E+11,1.62E+11,1.70E+11,1.79E+11,1.91E+11,2.00E+11,2.07E+11,2.00E+11,1.90E+11,1.90E+11,1.94E+11,1.97E+11,1.90E+11
Israel,1.11E+11,1.20E+11,1.26E+11,1.31E+11,1.36E+11,1.40E+11,1.53E+11,1.53E+11,1.52E+11,1.56E+11,1.65E+11,1.75E+11,1.86E+11,1.97E+11,2.06E+11,2.08E+11,2.19E+11,2.28E+11,2.35E+11,2.41E+11
Italy,1.64E+12,1.72E+12,1.74E+12,1.79E+12,1.85E+12,1.90E+12,1.98E+12,2.03E+12,2.05E+12,2.06E+12,2.08E+12,2.08E+12,2.13E+12,2.17E+12,2.14E+12,2.02E+12,2.05E+12,2.06E+12,2.02E+12,1.97E+12
Jamaica,22300000000,22600000000,22100000000,21800000000,21600000000,21600000000,21800000000,22200000000,22400000000,22900000000,23000000000,23300000000,24000000000,24300000000,24100000000,23400000000,23000000000,23300000000,23200000000,23300000000
Japan,3.76E+12,3.84E+12,3.97E+12,4.04E+12,3.92E+12,3.91E+12,4.02E+12,4.03E+12,4.04E+12,4.11E+12,4.21E+12,4.29E+12,4.36E+12,4.45E+12,4.41E+12,4.16E+12,4.36E+12,4.34E+12,4.41E+12,4.48E+12
Jordan,33000000000,35400000000,35800000000,36400000000,36700000000,37300000000,38300000000,39800000000,41600000000,43000000000,46400000000,49700000000,54000000000,58900000000,63800000000,67800000000,69700000000,71500000000,73200000000,75200000000
Kazakhstan,1.38E+11,1.28E+11,1.28E+11,1.30E+11,1.28E+11,1.31E+11,1.43E+11,1.62E+11,1.77E+11,1.94E+11,2.13E+11,2.36E+11,2.61E+11,2.84E+11,2.93E+11,2.96E+11,3.16E+11,3.37E+11,3.52E+11,3.72E+11
Kenya,47300000000,49400000000,51400000000,51600000000,53300000000,54400000000,54700000000,57100000000,57400000000,59100000000,62100000000,65800000000,70000000000,74900000000,76000000000,78100000000,82600000000,86200000000,90100000000,95200000000
Kiribati,112000000,111000000,118000000,124000000,138000000,138000000,152000000,153000000,154000000,160000000,165000000,165000000,158000000,169000000,174000000,173000000,172000000,177000000,181000000,186000000
Kuwait,1.57E+11,1.47E+11,1.36E+11,1.36E+11,1.35E+11,1.34E+11,1.42E+11,1.42E+11,1.46E+11,1.69E+11,1.86E+11,2.04E+11,2.14E+11,2.21E+11,2.33E+11,2.22E+11,2.18E+11,2.32E+11,2.46E+11,2.47E+11
Kyrgyz Republic,8330000000,7880000000,8440000000,9310000000,9540000000,9900000000,10400000000,11000000000,10900000000,11500000000,12100000000,12000000000,12400000000,13400000000,14500000000,14900000000,14800000000,15800000000,15600000000,17300000000
Lao,9780000000,10300000000,10500000000,11000000000,11300000000,12100000000,12700000000,13300000000,14000000000,14700000000,15400000000,16400000000,17800000000,19200000000,20700000000,22300000000,24100000000,26000000000,27900000000,30000000000
Latvia,21500000000,21200000000,22000000000,24000000000,25300000000,26500000000,28400000000,30600000000,32600000000,34900000000,37900000000,41900000000,46800000000,51500000000,49900000000,41500000000,41700000000,44800000000,47700000000,49600000000
Lebanon,15900000000,17100000000,17800000000,19900000000,22700000000,24400000000,26100000000,29400000000,33600000000,37500000000,44400000000,49700000000,50900000000,55700000000,60200000000,65200000000,69400000000,70000000000,70900000000,71500000000
Lesotho,2720000000,2770000000,2940000000,3040000000,3110000000,3200000000,3360000000,3510000000,3520000000,3690000000,3770000000,3880000000,4040000000,4230000000,4460000000,4590000000,4850000000,5050000000,5400000000,5760000000
Liberia,526000000,504000000,565000000,1160000000,1510000000,1860000000,2270000000,2340000000,2420000000,1670000000,1720000000,1810000000,2050000000,2230000000,2410000000,2590000000,2780000000,3010000000,3270000000,3520000000
Libya,1.06E+11,1.07E+11,1.13E+11,1.20E+11,1.16E+11,1.18E+11,1.23E+11,1.30E+11,1.33E+11,1.41E+11,1.49E+11,1.60E+11,1.70E+11,1.81E+11,1.86E+11,1.84E+11,1.93E+11,74900000000,1.52E+11,1.37E+11
