country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Liechtenstein,1820000000,1930000000,2060000000,2210000000,2380000000,2630000000,2720000000,2700000000,2680000000,2630000000,2710000000,2840000000,3090000000,3380000000,3290000000,2950000000,3210000000,3270000000,,
Lithuania,34300000000,35900000000,37400000000,39700000000,42300000000,41300000000,42700000000,45300000000,48300000000,52900000000,56700000000,60900000000,65700000000,72200000000,74200000000,63200000000,64900000000,74100000000,77500000000,80100000000
Luxembourg,24700000000,24900000000,25700000000,28000000000,30100000000,32500000000,35400000000,35700000000,36300000000,37000000000,38500000000,40700000000,42800000000,45900000000,45800000000,44100000000,45400000000,45800000000,45400000000,45900000000
"Macedonia, FYR",16100000000,15900000000,16100000000,16300000000,16800000000,17600000000,18400000000,17500000000,17700000000,18200000000,19000000000,19800000000,20800000000,22000000000,23100000000,22900000000,23600000000,24300000000,24100000000,24900000000
Madagascar,17700000000,18100000000,18500000000,19200000000,20000000000,20900000000,22000000000,23300000000,20300000000,22300000000,23500000000,24600000000,25900000000,27600000000,29600000000,28500000000,28700000000,29300000000,30100000000,30900000000
Malawi,5170000000,5640000000,6190000000,6420000000,6570000000,6650000000,6760000000,6420000000,6610000000,6360000000,7360000000,7600000000,7960000000,8720000000,9450000000,10300000000,11000000000,11500000000,11700000000,12400000000
Malaysia,2.60E+11,2.86E+11,3.16E+11,3.40E+11,3.16E+11,3.37E+11,3.67E+11,3.69E+11,3.86E+11,4.09E+11,4.39E+11,4.61E+11,4.89E+11,5.23E+11,5.50E+11,5.40E+11,5.77E+11,6.08E+11,6.45E+11,6.79E+11
Maldives,1100000000,1180000000,1280000000,1430000000,1560000000,1680000000,1760000000,1810000000,1920000000,2100000000,2340000000,2220000000,2640000000,2910000000,3250000000,3120000000,3330000000,3560000000,3580000000,3700000000
Mali,10100000000,10900000000,11400000000,12200000000,12900000000,13800000000,14400000000,16200000000,17000000000,18300000000,18900000000,20100000000,21200000000,22100000000,23200000000,24200000000,25700000000,26300000000,26300000000,26700000000
Malta,7780000000,8240000000,8580000000,8970000000,9280000000,9630000000,10200000000,10100000000,10300000000,10300000000,10300000000,10600000000,10900000000,11300000000,11700000000,11300000000,11700000000,11800000000,12000000000,12300000000
Marshall Islands,166000000,180000000,161000000,151000000,147000000,143000000,152000000,160000000,164000000,164000000,164000000,168000000,172000000,178000000,176000000,174000000,186000000,190000000,199000000,200000000
Mauritania,4770000000,4990000000,5310000000,5510000000,5720000000,5940000000,6240000000,6510000000,6780000000,7150000000,7520000000,7900000000,8800000000,8890000000,9200000000,9090000000,9550000000,9920000000,10600000000,11300000000
Mauritius,9190000000,9540000000,10100000000,10700000000,11300000000,11900000000,12300000000,13200000000,13600000000,14600000000,15300000000,15800000000,16500000000,17400000000,18500000000,19000000000,19800000000,20600000000,21300000000,21900000000
Mexico,1.19E+12,1.11E+12,1.17E+12,1.26E+12,1.32E+12,1.38E+12,1.47E+12,1.47E+12,1.49E+12,1.51E+12,1.58E+12,1.62E+12,1.71E+12,1.76E+12,1.77E+12,1.66E+12,1.74E+12,1.81E+12,1.88E+12,1.90E+12
"Micronesia, Fed. Sts.",319000000,342000000,331000000,310000000,319000000,324000000,339000000,347000000,351000000,360000000,351000000,361000000,364000000,359000000,353000000,359000000,371000000,381000000,384000000,389000000
Moldova,11800000000,11600000000,10800000000,10900000000,10100000000,9660000000,9720000000,10100000000,10700000000,11200000000,11800000000,12500000000,12900000000,13200000000,14100000000,13100000000,14000000000,14800000000,14600000000,15800000000
Monaco,1050000000,1080000000,1100000000,1140000000,1190000000,1240000000,1300000000,1320000000,1330000000,1330000000,1350000000,1370000000,1450000000,1650000000,1660000000,1470000000,1500000000,1530000000,,
Mongolia,7610000000,8070000000,8260000000,8600000000,8940000000,9260000000,9380000000,9680000000,10200000000,10900000000,12100000000,13000000000,14100000000,15600000000,17000000000,16700000000,17800000000,21000000000,23500000000,26100000000
Montenegro,3940000000,4450000000,5580000000,5810000000,5940000000,5350000000,5480000000,5570000000,5770000000,6050000000,6470000000,6870000000,7450000000,8080000000,8640000000,8130000000,8300000000,8930000000,8700000000,8970000000
Morocco,1.24E+11,1.15E+11,1.29E+11,1.25E+11,1.34E+11,1.33E+11,1.34E+11,1.42E+11,1.45E+11,1.53E+11,1.60E+11,1.63E+11,1.76E+11,1.80E+11,1.90E+11,1.99E+11,2.06E+11,2.16E+11,2.22E+11,2.32E+11
Mozambique,6100000000,6180000000,6610000000,7350000000,8290000000,8940000000,9120000000,10400000000,11200000000,12200000000,13300000000,14300000000,15600000000,16800000000,18000000000,19200000000,20600000000,22200000000,23700000000,25400000000
Myanmar,76400000000,78700000000,81000000000,83200000000,85400000000,88900000000,93000000000,96500000000,1.00E+11,1.04E+11,1.08E+11,1.08E+11,1.21E+11,1.34E+11,1.37E+11,1.42E+11,1.48E+11,1.54E+11,1.63E+11,1.73E+11
Namibia,9990000000,10400000000,10800000000,11300000000,11700000000,12200000000,12600000000,12900000000,13300000000,13800000000,14900000000,15600000000,16700000000,17700000000,18300000000,18100000000,19500000000,20600000000,21800000000,23000000000
Nauru,90300000,83700000,77600000,71900000,70500000,69200000,69200000,69600000,70100000,70100000,70100000,70100000,55900000,49900000,97500000,79800000,79800000,83000000,,
Nepal,33800000000,35000000000,36900000000,38400000000,39100000000,40400000000,43100000000,45300000000,45200000000,46600000000,48200000000,49300000000,50200000000,51900000000,55100000000,57600000000,60300000000,62700000000,66100000000,68500000000
Netherlands,4.80E+11,4.97E+11,5.17E+11,5.41E+11,5.64E+11,5.91E+11,6.15E+11,6.28E+11,6.30E+11,6.35E+11,6.52E+11,6.65E+11,6.90E+11,7.18E+11,7.31E+11,7.03E+11,7.13E+11,7.19E+11,7.10E+11,7.04E+11
New Zealand,92900000000,96800000000,99800000000,1.01E+11,1.01E+11,1.06E+11,1.08E+11,1.12E+11,1.17E+11,1.22E+11,1.27E+11,1.29E+11,1.33E+11,1.38E+11,1.37E+11,1.35E+11,1.37E+11,1.39E+11,1.44E+11,1.47E+11
Nicaragua,13200000000,13700000000,14300000000,14900000000,15400000000,18400000000,17300000000,17700000000,17700000000,18000000000,18800000000,19400000000,20500000000,21600000000,22500000000,22000000000,22800000000,24100000000,25400000000,26600000000
Niger,6500000000,6710000000,6970000000,7220000000,8030000000,8040000000,7980000000,8590000000,8900000000,9350000000,9330000000,10100000000,10700000000,10700000000,11800000000,11700000000,13000000000,13300000000,14900000000,15500000000
Nigeria,2.89E+11,2.88E+11,3.03E+11,3.11E+11,3.20E+11,3.21E+11,3.38E+11,3.64E+11,4.42E+11,4.87E+11,5.38E+11,5.73E+11,6.08E+11,6.47E+11,6.87E+11,7.35E+11,7.93E+11,8.51E+11,9.06E+11,9.61E+11
North Korea,34500000000,31400000000,30700000000,27400000000,28500000000,31300000000,29500000000,31600000000,32000000000,32900000000,33300000000,34800000000,34900000000,33400000000,34400000000,34100000000,33900000000,34200000000,34200000000,
Norway,2.05E+11,2.14E+11,2.26E+11,2.38E+11,2.44E+11,2.49E+11,2.58E+11,2.63E+11,2.68E+11,2.71E+11,2.83E+11,2.92E+11,2.99E+11,3.07E+11,3.07E+11,3.03E+11,3.02E+11,3.05E+11,3.12E+11,3.12E+11
Oman,74900000000,77500000000,78000000000,80300000000,79500000000,76500000000,78200000000,81700000000,81900000000,81900000000,85000000000,88800000000,94200000000,1.01E+11,1.16E+11,1.19E+11,1.47E+11,1.32E+11,1.37E+11,1.42E+11
Pakistan,3.99E+11,4.19E+11,4.40E+11,4.44E+11,4.56E+11,4.73E+11,4.87E+11,4.93E+11,5.09E+11,5.33E+11,5.72E+11,6.14E+11,6.49E+11,6.94E+11,7.20E+11,7.14E+11,7.33E+11,7.54E+11,7.85E+11,8.11E+11
Palau,202000000,224000000,247000000,251000000,255000000,241000000,241000000,243000000,234000000,231000000,242000000,256000000,263000000,269000000,266000000,274000000,279000000,284000000,308000000,311000000
Palestine,14500000000,15700000000,17000000000,18500000000,20300000000,22200000000,22100000000,17500000000,13800000000,11800000000,11600000000,11500000000,10900000000,11500000000,12300000000,13200000000,14500000000,15900000000,16900000000,
Panama,22200000000,22600000000,23200000000,24200000000,25200000000,26100000000,26800000000,26900000000,27600000000,28900000000,31100000000,33200000000,36100000000,40400000000,44500000000,46100000000,49400000000,54600000000,60400000000,65000000000
Papua New Guinea,10300000000,9950000000,10700000000,10300000000,9900000000,10100000000,9830000000,9820000000,9810000000,10000000000,10300000000,10700000000,10900000000,11700000000,12500000000,13300000000,14300000000,15800000000,17100000000,17800000000
Paraguay,32100000000,33400000000,33600000000,34300000000,34000000000,34000000000,33600000000,34100000000,33900000000,35000000000,36200000000,37100000000,38800000000,40800000000,43400000000,41600000000,46900000000,48800000000,48200000000,54500000000
Peru,1.50E+11,1.62E+11,1.66E+11,1.80E+11,1.80E+11,1.81E+11,1.87E+11,1.87E+11,1.96E+11,2.03E+11,2.09E+11,2.22E+11,2.38E+11,2.57E+11,2.81E+11,2.82E+11,3.05E+11,3.25E+11,3.44E+11,3.60E+11
Philippines,2.57E+11,2.69E+11,2.85E+11,3.00E+11,2.98E+11,3.09E+11,3.28E+11,3.34E+11,3.49E+11,3.66E+11,3.90E+11,4.09E+11,4.30E+11,4.57E+11,4.75E+11,4.86E+11,5.22E+11,5.43E+11,5.80E+11,6.21E+11
Poland,3.98E+11,4.25E+11,4.50E+11,4.80E+11,5.06E+11,5.29E+11,5.51E+11,5.57E+11,5.65E+11,5.87E+11,6.18E+11,6.38E+11,6.78E+11,7.25E+11,7.63E+11,7.76E+11,8.06E+11,8.33E+11,8.49E+11,8.63E+11
Portugal,2.05E+11,2.14E+11,2.22E+11,2.31E+11,2.41E+11,2.50E+11,2.60E+11,2.65E+11,2.67E+11,2.65E+11,2.68E+11,2.70E+11,2.74E+11,2.81E+11,2.81E+11,2.73E+11,2.78E+11,2.76E+11,2.69E+11,2.65E+11
Qatar,30600000000,31100000000,32600000000,42300000000,47600000000,49900000000,54000000000,54500000000,56700000000,58000000000,73000000000,85300000000,1.09E+11,1.32E+11,1.56E+11,1.77E+11,2.19E+11,2.53E+11,2.59E+11,2.55E+11
Romania,2.48E+11,2.64E+11,2.74E+11,2.57E+11,2.44E+11,2.40E+11,2.45E+11,2.58E+11,2.70E+11,2.82E+11,3.06E+11,3.17E+11,3.42E+11,3.63E+11,3.89E+11,3.63E+11,3.59E+11,3.67E+11,3.69E+11,3.82E+11
Russia,1.84E+12,1.76E+12,1.70E+12,1.72E+12,1.63E+12,1.73E+12,1.90E+12,2.00E+12,2.10E+12,2.26E+12,2.42E+12,2.58E+12,2.80E+12,3.04E+12,3.20E+12,2.95E+12,3.07E+12,3.21E+12,3.32E+12,3.36E+12
Rwanda,2440000000,3660000000,4090000000,4200000000,5060000000,5810000000,6450000000,7030000000,7730000000,7760000000,8010000000,8470000000,9320000000,9910000000,11300000000,12200000000,13200000000,14400000000,15700000000,16600000000
Samoa,537000000,572000000,613000000,618000000,632000000,650000000,696000000,750000000,763000000,784000000,808000000,846000000,863000000,878000000,914000000,867000000,870000000,889000000,916000000,915000000
San Marino,758000000,829000000,869000000,890000000,958000000,1050000000,1070000000,1130000000,1130000000,1180000000,1230000000,1260000000,1310000000,1360000000,1310000000,1140000000,1080000000,1060000000,,
Sao Tome and Principe,245000000,250000000,253000000,256000000,262000000,269000000,270000000,278000000,284000000,303000000,317000000,326000000,367000000,375000000,411000000,431000000,450000000,472000000,446000000,463000000
Saudi Arabia,7.81E+11,7.67E+11,7.65E+11,7.67E+11,7.68E+11,7.53E+11,7.86E+11,7.91E+11,8.00E+11,8.73E+11,9.32E+11,1.00E+12,1.05E+12,1.11E+12,1.19E+12,1.21E+12,1.28E+12,1.38E+12,1.45E+12,1.50E+12
Senegal,13200000000,13900000000,14600000000,15300000000,16100000000,16900000000,17900000000,18700000000,18900000000,20200000000,21500000000,22700000000,23200000000,24400000000,25300000000,25800000000,26900000000,27600000000,28500000000,29600000000
Serbia,82900000000,88300000000,92900000000,1.00E+11,1.03E+11,79200000000,82700000000,86300000000,89400000000,91300000000,98700000000,1.05E+11,1.09E+11,1.15E+11,1.20E+11,1.16E+11,1.15E+11,1.16E+11,1.14E+11,1.17E+11
Seychelles,1160000000,1160000000,1270000000,1420000000,1440000000,1460000000,1520000000,1500000000,1510000000,1440000000,1420000000,1560000000,1680000000,1870000000,1800000000,1780000000,1840000000,1980000000,2020000000,2070000000
Sierra Leone,6540000000,5770000000,4280000000,3430000000,3370000000,3140000000,3270000000,3800000000,4810000000,5230000000,5700000000,6210000000,6500000000,7010000000,7380000000,7590000000,7970000000,8410000000,9710000000,11300000000
Singapore,1.45E+11,1.56E+11,1.67E+11,1.79E+11,1.75E+11,1.91E+11,2.11E+11,2.03E+11,2.12E+11,2.21E+11,2.41E+11,2.58E+11,2.78E+11,2.99E+11,3.07E+11,3.10E+11,3.58E+11,3.75E+11,3.78E+11,3.90E+11
Slovak Republic,67300000000,71200000000,76200000000,80600000000,83600000000,83900000000,84600000000,87300000000,90900000000,94800000000,99900000000,1.06E+11,1.15E+11,1.27E+11,1.35E+11,1.28E+11,1.33E+11,1.38E+11,1.40E+11,1.41E+11
Slovenia,34200000000,35700000000,37000000000,38800000000,40200000000,42300000000,44000000000,45400000000,47000000000,48400000000,50500000000,52700000000,55700000000,59600000000,61700000000,56500000000,56900000000,57300000000,55800000000,55300000000
Solomon Islands,771000000,834000000,847000000,834000000,848000000,844000000,724000000,660000000,650000000,694000000,751000000,791000000,826000000,883000000,949000000,908000000,963000000,1070000000,1120000000,1160000000
Somalia,4180000000,4160000000,4300000000,4160000000,4240000000,4350000000,4460000000,4580000000,4730000000,4880000000,5010000000,5150000000,5250000000,5370000000,5490000000,5610000000,5730000000,5870000000,6040000000,6220000000
South Africa,3.32E+11,3.44E+11,3.61E+11,3.72E+11,3.74E+11,3.84E+11,4.00E+11,4.12E+11,4.29E+11,4.43E+11,4.64E+11,4.90E+11,5.18E+11,5.48E+11,5.68E+11,5.61E+11,5.81E+11,5.98E+11,6.08E+11,6.14E+11
South Korea,6.96E+11,7.69E+11,8.14E+11,8.54E+11,8.21E+11,8.94E+11,9.51E+11,9.88E+11,1.07E+12,1.11E+12,1.16E+12,1.19E+12,1.24E+12,1.30E+12,1.29E+12,1.30E+12,1.38E+12,1.41E+12,1.43E+12,1.47E+12
South Sudan,9980000000,10300000000,10800000000,11900000000,12500000000,13400000000,14700000000,15500000000,16400000000,17400000000,18300000000,19800000000,21800000000,24300000000,25000000000,26500000000,28400000000,35300000000,18500000000,23000000000
Spain,8.72E+11,8.98E+11,9.20E+11,9.57E+11,1.00E+12,1.05E+12,1.11E+12,1.17E+12,1.21E+12,1.27E+12,1.33E+12,1.40E+12,1.45E+12,1.50E+12,1.50E+12,1.45E+12,1.46E+12,1.47E+12,1.46E+12,1.45E+12
Sri Lanka,70800000000,74300000000,76800000000,81200000000,84600000000,87900000000,93000000000,91600000000,95500000000,1.02E+11,1.07E+11,1.14E+11,1.23E+11,1.32E+11,1.40E+11,1.46E+11,1.57E+11,1.71E+11,1.82E+11,1.95E+11
St. Kitts and Nevis,677000000,702000000,748000000,800000000,808000000,837000000,874000000,891000000,901000000,905000000,974000000,1020000000,1060000000,1100000000,1140000000,1080000000,1080000000,1050000000,1030000000,1040000000
St. Lucia,1100000000,1120000000,1200000000,1200000000,1280000000,1320000000,1320000000,1250000000,1280000000,1340000000,1400000000,1480000000,1620000000,1660000000,1750000000,1770000000,1780000000,1810000000,1790000000,1770000000
St. Vincent and the Grenadines,733000000,737000000,742000000,836000000,874000000,908000000,919000000,921000000,955000000,982000000,1040000000,1060000000,1120000000,1150000000,1150000000,1120000000,1100000000,1100000000,1110000000,1140000000
Sudan,37100000000,38200000000,40100000000,44100000000,46600000000,49900000000,54500000000,57600000000,60800000000,64800000000,67900000000,73500000000,80000000000,86700000000,89400000000,93300000000,94900000000,1.16E+11,1.12E+11,1.15E+11
Suriname,3930000000,4060000000,4130000000,4240000000,4380000000,4290000000,4490000000,4780000000,4930000000,5310000000,5740000000,6110000000,6460000000,6790000000,7040000000,7220000000,7490000000,7800000000,8230000000,8600000000
Swaziland,4120000000,4330000000,4480000000,4650000000,4810000000,4980000000,5100000000,5180000000,5330000000,5460000000,5600000000,5770000000,5940000000,6780000000,7020000000,7130000000,7300000000,7340000000,7490000000,7710000000
Sweden,2.51E+11,2.64E+11,2.68E+11,2.75E+11,2.83E+11,2.94E+11,3.09E+11,3.12E+11,3.19E+11,3.26E+11,3.40E+11,3.52E+11,3.67E+11,3.80E+11,3.77E+11,3.58E+11,3.80E+11,3.94E+11,3.97E+11,4.02E+11
Switzerland,3.01E+11,3.03E+11,3.05E+11,3.11E+11,3.21E+11,3.25E+11,3.37E+11,3.41E+11,3.42E+11,3.41E+11,3.51E+11,3.60E+11,3.74E+11,3.89E+11,3.95E+11,3.80E+11,3.90E+11,3.95E+11,3.97E+11,4.04E+11
Syria,52600000000,55500000000,59000000000,60100000000,64100000000,61800000000,62900000000,65200000000,69100000000,69900000000,71900000000,75000000000,78700000000,82900000000,86100000000,90600000000,94100000000,93900000000,93600000000,
Tajikistan,8650000000,7570000000,6290000000,6370000000,6680000000,6880000000,7380000000,8040000000,8690000000,9450000000,10300000000,10900000000,11500000000,12300000000,13200000000,13600000000,14500000000,15400000000,16500000000,17600000000
Tanzania,28900000000,29900000000,31500000000,31300000000,32500000000,33600000000,35400000000,37600000000,40500000000,43000000000,46200000000,49700000000,53000000000,56800000000,61100000000,64700000000,69300000000,73800000000,79400000000,85100000000
Thailand,5.04E+11,5.49E+11,5.80E+11,5.72E+11,5.13E+11,5.37E+11,5.65E+11,5.80E+11,6.13E+11,6.58E+11,7.02E+11,7.35E+11,7.74E+11,8.17E+11,8.38E+11,8.22E+11,8.87E+11,8.90E+11,9.48E+11,9.76E+11
Timor-Leste,1180000000,1300000000,1440000000,1510000000,1480000000,958000000,1090000000,1280000000,1200000000,1190000000,1210000000,1310000000,1260000000,1400000000,1580000000,1760000000,1920000000,2140000000,2340000000,2540000000
Togo,5320000000,5520000000,5950000000,5620000000,5530000000,5710000000,5620000000,5650000000,5890000000,6170000000,6290000000,6320000000,6560000000,6690000000,6830000000,7070000000,7340000000,7690000000,8100000000,8510000000
Tonga,438000000,450000000,456000000,447000000,460000000,480000000,500000000,517000000,526000000,544000000,552000000,541000000,518000000,507000000,511000000,517000000,526000000,533000000,538000000,543000000
Trinidad and Tobago,16200000000,17000000000,17900000000,18800000000,19900000000,21400000000,22700000000,23900000000,25000000000,28500000000,30600000000,33800000000,38300000000,40100000000,41500000000,39700000000,39800000000,38700000000,39200000000,39800000000
Tunisia,54100000000,55300000000,59100000000,62200000000,65100000000,69000000000,72200000000,75600000000,76800000000,81000000000,85800000000,89200000000,94300000000,1.00E+11,1.05E+11,1.08E+11,1.12E+11,1.10E+11,1.14E+11,1.16E+11
Turkey,6.63E+11,7.08E+11,7.56E+11,8.11E+11,8.34E+11,7.93E+11,8.50E+11,7.85E+11,8.45E+11,8.93E+11,9.71E+11,1.04E+12,1.12E+12,1.17E+12,1.18E+12,1.12E+12,1.22E+12,1.33E+12,1.35E+12,1.40E+12
Turkmenistan,20400000000,19000000000,20300000000,17900000000,19000000000,22000000000,23200000000,24000000000,24200000000,25700000000,29200000000,31600000000,34900000000,38600000000,44100000000,46700000000,50800000000,58000000000,64200000000,70500000000
Tuvalu,34400000,32600000,32800000,36100000,39700000,40500000,35300000,39900000,42100000,44500000,46400000,48300000,,,,,,,,
Uganda,14800000000,16700000000,18200000000,19100000000,20000000000,21500000000,22600000000,23700000000,25300000000,26500000000,28000000000,29800000000,32700000000,35500000000,38200000000,40900000000,43200000000,46000000000,47300000000,50100000000
Ukraine,2.96E+11,2.61E+11,2.35E+11,2.28E+11,2.24E+11,2.23E+11,2.36E+11,2.58E+11,2.72E+11,2.97E+11,3.33E+11,3.42E+11,3.67E+11,3.95E+11,4.04E+11,3.44E+11,3.57E+11,3.75E+11,3.75E+11,3.73E+11
United Arab Emirates,1.15E+11,1.23E+11,1.29E+11,1.39E+11,1.41E+11,1.46E+11,1.62E+11,1.65E+11,1.66E+11,1.85E+11,2.09E+11,2.42E+11,2.94E+11,3.42E+11,3.89E+11,3.90E+11,4.15E+11,4.45E+11,4.63E+11,4.77E+11
United Kingdom,1.49E+12,1.53E+12,1.58E+12,1.63E+12,1.69E+12,1.76E+12,1.83E+12,1.89E+12,1.94E+12,2.01E+12,2.07E+12,2.11E+12,2.17E+12,2.24E+12,2.21E+12,2.12E+12,2.15E+12,2.17E+12,2.18E+12,2.22E+12
United States,1.04E+13,1.06E+13,1.10E+13,1.15E+13,1.20E+13,1.26E+13,1.31E+13,1.33E+13,1.35E+13,1.39E+13,1.44E+13,1.48E+13,1.52E+13,1.55E+13,1.54E+13,1.49E+13,1.53E+13,1.56E+13,1.61E+13,1.64E+13
Uruguay,38000000000,37300000000,39100000000,41100000000,43000000000,41700000000,41100000000,39500000000,35000000000,35500000000,39500000000,41900000000,43600000000,46400000000,49700000000,51000000000,55500000000,58600000000,60900000000,63500000000
Uzbekistan,50900000000,50600000000,51600000000,54300000000,56700000000,59100000000,61200000000,63600000000,65800000000,68200000000,72900000000,77400000000,83000000000,90500000000,98400000000,1.06E+11,1.14E+11,1.23E+11,1.31E+11,1.41E+11
Vanuatu,422000000,441000000,472000000,495000000,516000000,500000000,513000000,500000000,464000000,479000000,506000000,541000000,589000000,622000000,663000000,687000000,700000000,711000000,725000000,717000000
Venezuela,3.23E+11,3.30E+11,3.30E+11,3.52E+11,3.54E+11,3.33E+11,3.47E+11,3.60E+11,3.28E+11,3.03E+11,3.61E+11,3.97E+11,4.38E+11,4.77E+11,5.02E+11,4.86E+11,4.79E+11,4.99E+11,5.27E+11,5.32E+11
Vietnam,1.30E+11,1.42E+11,1.56E+11,1.68E+11,1.77E+11,1.86E+11,1.98E+11,2.11E+11,2.26E+11,2.43E+11,2.62E+11,2.84E+11,3.07E+11,3.32E+11,3.53E+11,3.71E+11,3.96E+11,4.19E+11,4.41E+11,4.65E+11
Yemen,51800000000,58000000000,61800000000,66800000000,69800000000,72200000000,76400000000,79000000000,81800000000,84500000000,87600000000,91300000000,94200000000,97400000000,1.01E+11,1.05E+11,1.13E+11,1.01E+11,1.04E+11,1.09E+11
Zambia,19000000000,18500000000,19700000000,20400000000,20000000000,20500000000,21200000000,22200000000,23000000000,23900000000,25400000000,26800000000,28400000000,30200000000,32000000000,34000000000,36400000000,38800000000,41500000000,44000000000
Zimbabwe,23400000000,23500000000,25900000000,26600000000,27400000000,27100000000,26200000000,26600000000,24200000000,20000000000,18800000000,17700000000,17000000000,16300000000,13300000000,14000000000,15300000000,16800000000,18500000000,19300000000
